Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
BMW,BMW X7,8_50,664.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMW,BMW Z3,8_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.0,872.0,1459.0
BMW,BMW Z4,8_45,1428.0,1928.0,0.0,134.0,1197.0,1561.0,1884.0,1582.0,1896.0,1885.0,1953.0,2433.0,1769.0,3172.0,3025.0,2139.0,3109.0,2585.0,0.0,0.0
BMW,BMW Z8,8_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,17.0
BRISTOL,BRISTOL FIGHTER,11_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
CADILLAC,CADILLAC BLS,14_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,59.0,44.0,90.0,56.0,0.0,0.0,0.0,0.0,0.0
CADILLAC,CADILLAC CTS,14_2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,16.0,9.0,31.0,29.0,21.0,0.0,0.0,0.0,0.0
CADILLAC,CADILLAC ESCALADE,14_3,0.0,1.0,5.0,3.0,6.0,4.0,0.0,0.0,2.0,1.0,4.0,7.0,3.0,17.0,2.0,2.0,8.0,8.0,8.0,2.0
CADILLAC,CADILLAC STS,14_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET AVEO,16_2,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1475.0,1798.0,1504.0,1951.0,4605.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVROLET,CHEVROLET CAMARO,16_4,0.0,29.0,21.0,28.0,4.0,2.0,10.0,24.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
